id_siniestro,id_poliza,id_cobertura,monto_siniestro,fecha_ocurrencia
110,100560,3,613801.4984213999,2016-02-08
111,100562,4,355240.77640648274,2015-06-10
112,100566,1,1581173.542361778,2016-05-15
113,100601,1,161285.31849620165,2015-05-08
114,100602,1,682334.2293424861,2015-04-21
115,100620,1,98385.37834024873,2015-12-31
116,100621,1,45715.64021064879,2015-03-15
117,100630,1,202210.6586951902,2015-02-04
118,100634,1,45620.80510713252,2014-09-14
119,100634,1,360585.85765141575,2014-09-07
120,100636,1,367014.3663973762,2015-03-27
121,100638,1,44352.15697893989,2015-05-07
122,100655,1,923724.057430724,2015-01-06
123,100655,1,706413.7346735147,2014-11-09
124,100657,1,17508.1465057279,2015-11-12
125,100660,3,1765738.5462200462,2015-10-20
126,100662,1,191812.75832797587,2015-08-21
127,100666,1,33585.2574253565,2015-11-21
128,100667,1,2448414.4987616977,2015-02-24
129,100670,1,1288082.6412767996,2015-02-07
130,100672,1,174768.78923077666,2016-01-18
131,100677,1,1145051.6899061354,2014-11-29
132,100678,1,617995.9544625704,2016-04-16
133,100680,1,243378.92101494083,2015-07-02
134,100687,1,555819.3964165713,2014-11-30
135,100690,1,1061883.835573324,2015-08-12
136,100702,4,41453.60472644121,2015-08-27
137,100706,1,1650707.049885169,2014-11-26
138,100713,1,491456.4380746459,2014-10-02
139,100717,1,888874.7959352866,2015-07-11
140,100737,1,1311696.7951575299,2015-03-18
141,100741,1,338143.6694505871,2015-09-16
142,100741,4,147873.32918664208,2015-12-25
143,100745,5,73405.08350171149,2015-08-12
144,100755,1,95964.65579381632,2016-02-28
145,100771,1,1579692.8146759223,2015-02-02
146,100788,1,400380.890369155,2015-12-31
147,100788,1,974204.547359631,2015-09-15
148,100788,1,241618.1092140507,2016-01-27
149,100789,1,808567.2398277953,2015-02-04
150,100790,1,794441.3022432671,2016-05-04
151,100798,1,430340.9231804302,2015-02-26
152,100798,1,955572.1913536346,2015-01-27
153,100804,1,1060757.3959462834,2015-05-26
154,100808,1,1041170.7253993343,2015-06-16
155,100812,1,246110.15101380274,2015-11-30
156,100820,1,227856.90631530946,2014-12-28
157,100829,1,1281937.51038711,2015-11-20
158,100835,4,110148.67453234037,2015-03-04
159,100842,1,753990.2152056374,2015-09-13
160,100843,3,90847.72035452898,2015-01-25
161,100843,4,652668.1992486545,2014-12-27
162,100845,1,1443070.6467616423,2016-02-26
163,100848,1,1348438.0508383051,2015-11-26
164,100856,1,107075.96396441224,2015-03-24
165,100856,1,2338130.365059131,2015-11-11
166,100859,1,1169264.3173040927,2015-01-26
167,100863,1,1340031.27007415,2015-06-22
168,100867,5,652050.2067989232,2015-09-29
169,100872,1,272870.4895548625,2015-03-29
170,100874,1,1679947.0486101683,2015-02-19
171,100874,3,241491.75944327842,2015-01-23
172,100878,3,29121.033365861513,2015-04-16
173,100882,1,978820.8543897128,2015-04-16
174,100882,1,19134.313190654386,2015-04-28
175,100885,1,95550.71840734966,2014-09-30
176,100889,3,309306.40893297363,2014-12-30
177,100892,5,1189581.613365877,2015-04-07
178,100894,1,210417.81532063824,2016-03-01
179,100895,1,110121.61468032142,2016-04-07
180,100897,1,10860.224322206353,2015-03-10
181,100897,1,1051407.401580623,2015-05-30
182,100898,1,595217.3921572727,2014-11-04
183,100898,5,132952.55689881742,2015-02-25
184,100901,1,737180.2318224482,2015-08-22
185,100910,1,1031238.8066296732,2015-01-31
186,100916,1,1053710.992139333,2014-10-30
187,100918,1,92362.4753968238,2015-06-29
188,100921,1,147246.06588600297,2014-11-11
189,100921,1,172895.16296444013,2014-12-09
190,100926,1,364961.7762989206,2014-11-22
191,100927,1,752658.586101479,2015-07-01
192,100933,1,95415.02368554706,2015-08-19
193,100933,1,1920770.9480496373,2015-03-05
194,100944,1,1342003.040035876,2015-05-03
195,100945,1,1018433.6199864687,2015-02-09
196,100949,1,85663.61669881828,2015-11-15
197,100952,1,361715.1135285697,2016-02-16
198,100958,1,395335.38241929375,2016-03-03
199,100958,1,272028.13987200893,2015-06-11
200,100962,1,172336.12800521543,2015-05-19
201,100968,4,414524.1985763078,2015-05-24
202,100969,1,749511.6689885365,2016-04-02
203,100971,1,912070.9134096935,2015-02-04
204,100978,1,994664.9257155542,2016-04-17
205,100979,1,1391832.4525762897,2015-05-16
206,100986,1,645050.5472104024,2015-05-27
207,100992,1,1237924.5374202677,2015-09-02
208,100999,1,403492.59759554453,2014-12-23
209,101001,4,102694.91837836336,2015-04-06
210,101008,1,525297.8395145566,2014-10-31
211,101010,3,1285211.140422536,2015-01-02
212,101019,1,1128605.5805578318,2015-05-28
213,101021,1,38460.85728529214,2016-03-08
214,101035,1,318307.96467343764,2015-02-22
215,101038,1,919499.7590553922,2015-11-05
216,101045,1,636416.1465865478,2015-09-11
217,101047,1,104379.9989899993,2015-11-03
218,101047,1,48099.19088034964,2015-01-06
219,101050,1,1048034.0030372856,2015-02-23
220,101055,1,1508601.875423934,2016-02-17
221,101055,4,92366.05750674923,2016-03-14
222,101056,1,1060377.1797540954,2014-09-06
223,101060,1,1239733.8936015987,2016-01-16
224,101071,1,1545542.6371589515,2015-05-06
225,101071,1,1756920.9460379805,2015-04-15
226,101076,2,1221391.3384374778,2015-10-29
227,101083,1,650341.3204171521,2016-04-09
228,101084,1,848672.0652227349,2015-02-18
229,101085,1,22772.951334691155,2015-06-11
230,101085,3,510220.3781830835,2015-08-10
231,101088,5,166969.25489231944,2015-04-13
232,101100,5,176681.63012713194,2015-10-26
233,101103,1,770904.666775478,2015-05-27
234,101110,2,1379378.7227860126,2016-01-01
235,101110,3,21147.090188393428,2015-12-11
236,101112,1,1831740.0194343652,2015-09-28
237,101114,1,377098.5624602968,2015-07-14
238,101118,4,424000.9202611893,2015-04-26
239,101133,1,8795.171950265765,2015-05-27
240,101134,1,1298694.5315819015,2015-04-21
241,101135,1,802179.3329522045,2016-04-04
242,101135,1,467915.2675622008,2015-11-30
243,101136,1,288948.7867587134,2015-07-06
244,101137,1,1815242.877602873,2015-03-12
245,101149,5,269973.4865143092,2015-06-12
246,101154,1,835374.8215017462,2015-01-05
247,101159,1,742456.3379694099,2015-01-28
248,101162,1,64314.058065868914,2015-04-17
249,101164,1,212900.29505431233,2015-07-02
250,101164,4,573857.1706347966,2016-01-14
251,101164,4,133529.86315969075,2015-06-14
252,101164,4,279107.5787340085,2015-04-29
253,101179,1,1060678.6165988143,2015-05-14
254,101179,4,152621.31434934447,2014-12-31
255,101193,1,480289.14955195185,2015-06-01
256,101195,1,458994.810164453,2015-10-18
257,101199,1,220688.41230099963,2015-02-23
258,101201,1,242509.99094837438,2015-08-20
259,101208,1,90278.79338740697,2014-08-19
260,101221,1,197794.2295116037,2015-07-13
261,101240,1,60492.54043625062,2015-06-10
262,101251,1,971010.2195418729,2015-07-06
263,101251,5,123201.94244384766,2015-04-17
264,101254,1,142957.86437375564,2015-06-05
265,101257,1,1473544.2437285918,2015-09-02
266,101264,1,40093.723239813466,2014-09-17
267,101279,1,161838.66965685517,2016-01-03
268,101280,1,244638.76508236025,2016-02-16
269,101284,1,7829.6626443231835,2016-01-05
270,101295,1,9791.632181896828,2014-08-20
271,101299,1,790883.8832088746,2015-07-27
272,101302,1,259530.83375209357,2015-01-30
273,101310,1,178529.5627653203,2015-12-09
274,101316,1,24901.75052046021,2015-08-11
275,101321,1,271011.877736846,2015-08-12
276,101326,1,460124.6625489914,2015-06-07
277,101334,3,274808.51078412496,2016-02-29
278,101335,1,475122.44643721945,2015-02-04
279,101348,1,1500826.6975615646,2015-12-14
280,101358,1,1585966.215439691,2015-03-07
281,101361,1,1155638.8154313234,2015-01-13
282,101368,3,467489.45978450915,2015-04-23
283,101369,1,151599.67125200154,2015-08-15
284,101378,1,561959.0421238265,2014-09-22
285,101385,5,57775.58300956164,2015-09-01
286,101400,1,364558.832411272,2016-03-30
287,101415,1,125969.95828747004,2014-12-22
288,101428,1,428172.12563282903,2015-04-04
289,101431,4,312255.3928696717,2015-01-22
290,101435,1,1031286.5721114837,2014-10-31
291,101448,4,379197.59060516296,2015-02-22
292,101451,4,941.6257108817808,2014-10-20
293,101474,1,207477.15436412953,2015-10-09
294,101476,5,422075.24035186175,2014-08-16
295,101479,1,521901.17318246677,2015-03-10
296,101483,1,318421.1373046548,2015-04-01
297,101484,1,954861.8597778247,2015-06-21
298,101494,1,4722.820813359662,2015-04-22
299,101503,4,59154.634113495704,2015-08-26
300,101504,1,60923.14979468286,2015-07-08
301,101508,1,225394.39905283917,2015-07-04
302,101511,1,216676.9034457611,2015-08-14
303,101513,1,2324121.665657946,2015-02-18
304,101516,1,489897.00714934646,2015-01-20
305,101519,1,1389531.264403491,2015-02-18
306,101523,1,216458.07474559313,2015-01-18
307,101538,1,1053282.1820871835,2015-04-07
308,101546,2,1716326.4472628753,2015-05-07
309,101548,1,259519.60363179725,2015-05-15
310,101550,1,297890.15597170853,2015-09-18
311,101553,1,865119.6112057132,2015-05-11
312,101581,1,438311.08416011045,2015-08-09
313,101591,4,465567.3805014936,2015-07-12
314,101594,4,272335.86991555325,2015-08-17
315,101598,1,447125.5257554711,2015-03-19
316,101600,1,822197.3699432345,2015-04-06
317,101601,1,821114.8343889093,2015-10-10
318,101603,1,435557.27947471105,2015-05-19
319,101607,1,616490.7389407412,2015-07-21
320,101609,1,260273.25606799917,2015-07-01
321,101609,1,683299.560959089,2015-04-22
322,101632,1,126794.67257909244,2014-09-09
323,101636,1,1163199.5203318512,2015-03-27
324,101659,1,821621.7302389819,2015-04-12
325,101664,1,215850.04065905884,2016-01-07
326,101670,5,394654.7197051979,2015-07-11
327,101671,1,2371196.2879981697,2014-10-23
328,101671,1,45041.675013030814,2015-01-17
329,101683,1,621290.0748439163,2015-07-06
330,101687,3,335124.2682784235,2015-01-29
331,101688,1,380294.52178802434,2015-03-24
332,101688,1,133988.71540728724,2015-02-25
333,101694,1,28082.68422713609,2014-11-08
334,101702,1,999347.8791000141,2015-06-25
335,101714,1,1198315.0529569064,2015-05-10
336,101719,3,568082.3948773588,2015-12-01
337,101721,1,369687.403541998,2015-12-14
338,101730,1,785736.460135314,2015-03-26
339,101733,1,440038.2457811502,2015-04-06
340,101739,1,574479.9729296307,2014-10-01
341,101747,3,238991.08444815036,2015-04-07
342,101747,4,65405.66481587158,2015-02-11
343,101751,1,273798.4909582813,2015-08-01
344,101753,1,325124.6443309909,2015-08-29
345,101753,1,1288809.6281951987,2015-11-29
346,101763,1,1917247.5691125554,2015-10-03
347,101767,5,246522.8972361081,2014-08-28
348,101769,5,218271.02097353703,2015-07-06
349,101780,1,227190.29451074218,2015-02-26
350,101790,1,1358873.830999161,2014-12-30
351,101793,1,963529.9004037079,2016-01-05
352,101793,1,2771666.6654318366,2015-04-22
353,101802,1,1211635.028393675,2015-06-20
354,101802,3,202278.05390383463,2015-05-07
355,101802,5,83304.82821911573,2014-12-05
356,101803,5,11524.01357453583,2015-05-27
357,101806,3,424813.6067988283,2015-03-22
358,101809,1,1084150.4709574396,2015-07-25
359,101817,1,161738.3575291085,2015-07-09
360,101826,1,95567.52990031382,2015-11-30
361,101826,3,242191.74490725092,2015-11-01
362,101830,3,95233.77320124971,2015-11-19
363,101832,3,334064.755606653,2015-05-20
364,101845,1,362821.6262490497,2015-09-07
365,101855,1,1568837.7510838958,2015-01-14
366,101856,1,272293.3724397649,2015-05-17
367,101864,1,79935.14583952843,2015-11-05
368,101875,1,1216152.1514251702,2016-03-03
369,101878,1,65880.86294912203,2015-08-12
370,101878,1,475017.54680322384,2015-07-13
371,101881,1,222736.17056425088,2015-12-29
372,101882,1,2837084.7131752237,2015-05-29
373,101882,1,777786.2695551798,2015-06-12
374,101883,1,216131.7644198793,2014-12-25
375,101885,5,372499.22464191826,2015-06-04
376,101885,5,790154.8487687517,2014-10-06
377,101887,1,285733.67872508615,2015-09-09
378,101895,1,517710.05672505795,2014-12-30
379,101900,1,53131.5253018518,2016-01-01
380,101902,1,959733.5751398071,2014-12-18
381,101921,3,613694.0210671509,2015-10-12
382,101935,4,233300.4237122907,2016-02-07
383,101939,1,1703659.7502979848,2016-05-18
384,101946,1,1824265.997330251,2015-06-16
385,101948,1,2077334.3131013003,2016-05-24
386,101955,1,580599.0496113554,2015-08-12
387,101963,2,408103.95551545976,2015-07-27
388,101964,1,873055.7400848441,2015-11-25
389,101986,5,106751.37474995993,2015-08-11
390,101991,1,392297.812494264,2016-02-22
391,101991,1,682186.8090310671,2016-03-17
392,101991,1,640322.868713666,2015-12-09
393,101997,1,1531665.4011824678,2015-01-31
394,101997,5,282559.49354369764,2015-01-15
395,102002,1,537607.1177949986,2015-03-24
396,102011,1,1571742.0376666698,2015-03-02
397,102015,1,422350.02679780545,2015-07-05
398,102015,1,114726.75089614559,2015-03-28
399,102023,1,79991.57096556388,2015-11-19
400,102027,1,113348.5886126901,2015-06-17
401,102027,1,246437.05406755116,2015-12-15
402,102027,5,14561.21358124064,2015-08-07
403,102032,1,106157.76484572887,2015-02-19
404,102034,1,1113150.9083914985,2015-05-14
405,102035,1,385865.7760401657,2014-11-09
406,102050,1,297128.4107038784,2015-04-05
407,102058,1,182475.09377625072,2016-02-12
408,102060,1,288618.63755839085,2015-12-30
409,102064,1,257091.85101653868,2015-03-16
410,102075,1,143016.73404656444,2014-12-29
411,102076,1,953277.1419006857,2014-11-30
412,102079,1,77934.65351604091,2015-08-01
413,102084,1,1120570.8807536443,2015-05-07
414,102086,1,281300.72181471996,2015-01-03
415,102088,3,69439.56809024108,2015-09-21
416,102088,4,83488.71482898714,2015-02-19
417,102102,1,322770.29437588155,2014-10-13
418,102109,1,309257.39402372204,2015-10-30
419,102114,1,36496.888607800975,2015-09-29
420,102119,1,202990.18865475152,2016-01-24
421,102120,1,579820.9513954951,2015-10-10
422,102130,1,357382.32840947964,2015-02-26
423,102133,1,775584.9336950568,2016-01-30
424,102133,1,110883.81726566423,2015-08-31
425,102139,1,609861.6610431515,2015-05-18
426,102158,1,1572370.858714748,2015-08-13
427,102163,1,284142.00238687824,2014-09-16
428,102164,1,208481.6633511549,2014-12-27
429,102173,3,627093.0077457962,2015-01-29
430,102174,1,1244703.0898641539,2015-11-14
431,102175,1,122512.51054479675,2015-05-16
432,102176,1,1031785.7024886521,2015-10-08
433,102182,1,130950.2524420036,2015-06-23
434,102192,3,511620.022214822,2015-05-11
435,102196,1,1354642.017386655,2015-01-18
436,102198,1,82248.30359093053,2015-07-29
437,102198,1,15637.127065964405,2015-03-11
438,102200,1,51861.52613224593,2014-08-07
439,102222,1,499774.63404861355,2016-01-09
440,102224,1,431614.4421953852,2015-07-10
441,102226,1,424867.89486074634,2015-05-31
442,102234,1,762854.3934056036,2016-03-27
443,102239,1,3362540.2151925336,2015-07-31
444,102248,1,247976.8216654798,2015-03-28
445,102248,4,170286.36357743293,2015-04-10
446,102257,1,870840.4987368447,2014-07-19
447,102261,1,642166.0349587428,2015-07-23
448,102264,1,512512.49291336886,2015-07-05
449,102266,1,1058180.9167236702,2014-07-13
450,102269,1,525090.8716536567,2015-04-28
451,102279,1,476113.21748754504,2016-03-11
452,102280,1,1766876.4086265739,2014-10-21
453,102280,1,195386.64571175817,2015-08-05
454,102288,1,78100.47028151946,2015-05-25
455,102293,1,2122356.3384490977,2015-12-03
456,102304,1,396963.0293495776,2015-02-07
457,102304,5,981065.0579127219,2014-11-10
458,102312,1,485014.0531307704,2015-02-09
459,102312,3,29618.155517564155,2015-12-22
460,102315,1,2449048.74885999,2015-03-31
461,102316,1,377459.65288288426,2015-01-23
462,102316,4,363215.84079650504,2015-04-10
463,102323,1,546916.2749983224,2015-12-13
464,102342,1,413420.67810308747,2015-04-16
465,102347,1,1234400.3327397038,2015-02-21
466,102349,5,202298.0966605246,2014-07-12
467,102350,1,300571.4118998246,2015-02-15
468,102352,1,471358.95600033953,2014-11-12
469,102352,1,177854.56615816802,2015-02-08
470,102356,1,413225.17743605655,2014-10-28
471,102358,1,35315.66129693622,2015-01-21
472,102373,1,890473.3103771539,2015-09-28
473,102383,1,25303.467948025704,2014-11-14
474,102386,4,37950.97717403434,2015-01-10
475,102388,1,650132.3621029474,2015-04-03
476,102391,4,143013.05933447112,2015-08-01
477,102396,1,253543.07489293395,2015-03-27
478,102401,1,1060020.6395354618,2016-01-04
479,102408,5,50698.43726232648,2015-07-19
480,102411,1,392641.4850743289,2014-08-23
481,102414,1,52029.29970330678,2014-09-20
482,102419,1,610238.5100948245,2015-07-31
483,102420,1,430302.5057742731,2014-12-15
484,102420,3,1200280.6035693367,2015-08-06
485,102425,1,767824.2149277591,2015-02-25
486,102430,1,682681.7355262375,2015-05-26
487,102438,1,292291.2106955289,2015-08-27
488,102441,1,361325.9091523499,2015-06-24
489,102446,4,57849.078292082995,2015-08-15
490,102450,1,510911.99316792126,2015-01-25
491,102450,1,56832.96267356739,2015-02-07
492,102454,1,75568.43784523755,2015-11-21
493,102454,1,105008.42683042743,2015-09-13
494,102457,1,659016.3840485879,2015-11-06
495,102458,4,261119.4271057126,2016-01-13
496,102459,1,203725.41782327244,2015-03-18
497,102464,1,152048.5172332367,2015-09-01
498,102466,1,382576.9010814638,2014-11-11
499,102467,1,339789.20031839603,2015-04-05
500,102467,1,189855.69665102335,2016-01-03
501,102474,1,641207.1226816949,2015-06-24
502,102477,1,423034.8172751446,2015-09-19
503,102479,4,144319.92520668707,2015-05-18
504,102480,1,1408761.5387227933,2016-02-22
505,102494,4,117897.01154578943,2015-07-10
506,102494,6,620827.5568011297,2015-09-07
507,102502,1,801143.4244112008,2015-02-22
508,102507,3,285860.22159432527,2014-12-26
509,102508,1,558825.1326945992,2015-04-18
510,102514,1,391049.7225198196,2015-09-13
511,102526,1,143363.38810402868,2015-04-21
512,102530,1,167517.68276436813,2015-04-15
513,102531,1,1155980.2393770819,2014-12-15
514,102535,1,244573.87112589274,2015-04-26
515,102541,1,492669.5500122587,2015-06-14
516,102543,3,26755.358727650244,2015-01-18
517,102544,4,81011.66471027014,2016-02-21
518,102550,4,81880.07248347449,2015-03-09
519,102564,1,181363.98804930068,2015-02-17
520,102569,1,3855437.604189115,2015-06-02
521,102570,1,1509897.9394541157,2015-05-22
522,102573,1,127306.00743419032,2015-07-06
523,102573,5,55427.59685777128,2015-02-02
524,102574,5,144374.55930747092,2015-04-16
525,102575,5,450125.11390195804,2015-01-10
526,102576,1,388292.9699415383,2015-07-04
527,102581,1,305898.07764643023,2015-02-15
528,102601,1,11082.681396178901,2015-02-11
529,102604,5,711578.5387897898,2014-12-21
530,102605,1,1006608.7383139661,2015-11-14
531,102606,1,101361.53808769584,2015-09-14
532,102613,1,160180.5556405792,2015-02-14
533,102621,1,518965.8724096767,2014-11-29
534,102623,1,663.7350445833766,2015-12-19
535,102628,1,10701.936149757821,2015-03-06
536,102643,1,1959241.2656900745,2015-01-24
537,102644,1,116413.13238748116,2015-03-27
538,102644,1,104057.75871865026,2015-04-09
539,102649,1,634525.303213239,2015-09-28
540,102650,1,211647.76550013246,2015-03-31
541,102650,1,353272.4478376019,2015-01-08
542,102650,1,23146.394271392266,2015-03-25
543,102667,1,996200.7525993853,2015-02-06
544,102676,1,49263.82275729999,2015-06-07
545,102680,4,210120.5928708909,2015-11-06
546,102680,4,42393.21128886836,2015-11-15
547,102689,1,590007.3273467743,2015-07-24
548,102694,1,605586.9511799722,2015-03-15
549,102697,1,92861.8627939364,2015-06-27
550,102697,1,1491820.5244496877,2014-12-14
551,102697,1,110046.74922422413,2015-05-12
552,102697,5,265499.1128355897,2014-09-23
553,102700,3,209390.95309245866,2014-10-30
554,102714,1,58229.78122416175,2014-11-12
555,102714,1,290803.4567148378,2015-01-07
556,102720,1,227074.1850097468,2015-11-24
557,102720,1,1699140.9177405748,2015-06-20
558,102737,1,55432.019019115716,2014-10-21
559,102749,1,1350260.601989741,2014-12-10
560,102755,3,73778.84450375583,2016-01-14
561,102757,4,797707.3406548019,2015-01-15
562,102758,1,91096.4853320648,2015-10-30
563,102760,4,200988.5655100504,2015-11-23
564,102762,1,288118.2837629062,2015-06-14
565,102766,1,501414.7011614771,2015-02-28
566,102769,3,214456.0747573385,2015-03-03
567,102775,1,537098.8197786931,2014-11-07
568,102786,1,821167.2343091477,2015-01-22
569,102788,1,169983.06755894868,2015-06-18
570,102795,1,1061671.7768877936,2015-08-26
571,102801,1,187682.6004079152,2015-03-13
572,102810,4,174114.77625432657,2015-04-22
573,102810,4,506389.28638831316,2015-04-29
574,102811,1,532724.0472190299,2015-07-17
575,102813,1,273945.53034349205,2014-12-12
576,102815,1,302303.49265963817,2015-07-24
577,102819,1,81776.50372838974,2015-06-03
578,102827,1,556248.6928676201,2014-11-20
579,102829,1,2216346.3592335368,2015-07-03
580,102831,1,2074272.8583151188,2015-06-16
581,102831,1,816706.2637334414,2015-02-09
582,102832,1,1035139.8225684116,2015-05-25
583,102834,5,212014.6480262912,2015-07-20
584,102838,1,2134635.491568146,2015-08-15
585,102842,1,443184.6102755433,2016-01-21
586,102867,1,106393.28113169105,2015-07-19
587,102869,1,1738429.872207592,2015-05-20
588,102889,4,437635.7781125193,2015-01-13
589,102889,5,523771.2272002506,2015-05-20
590,102894,3,21460.074371130537,2015-05-23
591,102898,1,1030418.1409665762,2014-11-10
592,102898,1,322664.8876787117,2014-07-29
593,102899,1,751440.3408296142,2016-04-30
594,102907,4,96582.58383437991,2015-10-16
595,102914,1,721300.4846525699,2014-12-23
596,102919,1,244655.51201143116,2015-02-10
597,102924,1,184280.01552042598,2015-08-11
598,102926,1,680009.1607177773,2015-09-09
599,102928,1,274291.8224068014,2015-04-01
600,102942,1,232865.5797767085,2015-10-09
601,102942,1,127691.88267445704,2015-12-14
602,102943,1,354301.8703401024,2015-06-03
603,102944,1,1165928.377633699,2015-03-01
604,102945,1,2025206.9640680111,2015-01-17
605,102956,1,1008420.4376922032,2016-01-13
606,102962,1,408796.3359227297,2015-05-08
607,102966,4,950.5839888802789,2015-08-05
608,102977,1,217253.01846856624,2016-05-15
609,102979,1,904509.5253349118,2015-03-08
610,102980,3,376738.46130853496,2015-03-01
611,102991,4,362587.2889247145,2015-03-22
612,102992,1,666124.5449308224,2015-11-27
613,102998,1,378195.74960914766,2014-07-26
614,103008,1,300830.4908303033,2014-10-03
615,103029,3,283809.15176643524,2014-10-11
616,103031,1,24242.00912573417,2014-09-07
617,103031,1,75978.13228160748,2014-07-12
618,103033,1,193065.56115168147,2015-07-26
619,103035,1,137633.84574033692,2015-01-11
620,103047,2,2155592.2722598747,2015-02-01
621,103050,1,221007.00760669698,2015-07-14
622,103053,5,39435.14856509864,2016-01-29
623,103060,1,958012.8312369311,2015-11-16
624,103062,1,381704.243217445,2015-07-09
625,103062,1,331040.9829566083,2015-11-28
626,103064,4,35415.40020633023,2015-02-08
627,103068,1,560875.7741932862,2014-11-21
628,103074,1,249692.51149307875,2015-03-15
629,103078,4,249446.1259623398,2015-03-08
